159.105.206.212	25	212.208.193.242	37	0	1
159.195.194.186	37	229.229.120.212	25	0	1
229.117.245.212	42	229.188.233.242	80	0	1
212.132.217.196	42	108.253.134.196	25	0	1
108.131.157.212	53	212.223.192.186	53	0	1
212.220.176.242	53	135.229.173.212	37	0	1
108.236.134.242	53	108.253.134.196	25	1	1
229.158.153.212	25	212.116.159.249	25	0	1
135.239.250.186	80	212.163.231.212	80	0	1
135.219.218.186	25	135.183.229.186	80	0	1
229.158.153.212	25	212.106.243.249	53	1	1
212.196.231.186	42	212.163.231.212	80	1	1
135.184.245.186	42	212.205.116.186	25	0	1
229.174.186.186	80	135.252.251.242	53	0	1
135.224.101.212	42	135.148.176.196	53	0	1
108.150.205.212	25	159.221.220.196	53	0	1
229.174.186.186	80	159.145.218.242	25	1	1
212.218.114.242	42	135.209.247.186	42	0	1
108.118.253.186	42	212.197.222.196	53	0	1
159.215.205.212	25	212.240.214.249	80	0	1
159.215.205.212	25	108.248.202.212	25	1	1
108.239.209.196	80	229.193.124.249	42	0	1
135.165.114.212	37	212.209.242.186	37	0	1
229.197.157.212	53	229.134.212.196	80	0	1
135.254.143.242	42	229.134.212.196	80	1	1
135.165.114.212	37	212.228.109.242	80	1	1
135.127.240.196	25	212.251.175.196	42	0	1
135.127.240.196	25	229.179.110.212	53	1	1
108.182.149.249	53	212.139.235.196	53	0	1
229.191.254.186	37	159.175.117.249	25	0	1
159.233.224.212	80	159.173.172.196	80	0	1
229.191.254.186	37	108.159.102.186	42	1	1
229.219.177.242	53	108.234.141.242	37	0	1
135.238.180.186	25	108.234.141.242	37	1	1
159.117.188.196	25	135.123.180.186	53	0	1
108.234.178.196	37	135.123.180.186	53	1	1
135.118.244.249	53	159.242.118.186	25	0	1
229.202.161.186	25	159.154.222.186	25	0	1
159.234.103.242	25	229.165.201.196	42	0	1
212.175.143.249	37	108.124.244.196	42	0	1
135.213.156.186	42	135.102.152.186	53	0	1
108.119.189.212	53	229.181.161.196	53	0	1
159.146.235.186	37	229.181.161.196	53	1	1
159.180.218.242	53	229.205.117.212	37	0	1
135.150.196.249	53	159.219.178.249	80	0	1
212.211.159.242	53	135.235.136.196	53	0	1
159.169.130.186	37	135.140.193.186	53	0	1
108.122.195.242	53	229.158.149.212	80	0	1
229.211.189.242	42	159.229.133.242	80	0	1
108.107.126.186	37	212.159.218.212	42	0	1
212.177.137.249	80	229.158.149.212	80	1	1
135.224.239.212	53	229.203.175.212	80	0	1
229.167.166.212	25	108.209.167.186	25	0	1
229.137.154.196	80	229.238.138.196	53	0	1
135.232.126.249	25	229.146.182.186	37	0	1
135.226.179.196	37	212.205.173.212	53	0	1
108.111.113.212	42	229.244.117.186	37	0	1
108.140.144.196	53	212.232.106.249	42	0	1
108.191.245.196	42	229.244.117.186	37	1	1
108.228.224.249	80	159.201.210.249	80	0	1
212.231.245.249	80	135.147.236.249	37	0	1
135.196.106.186	37	212.212.110.249	42	0	1
108.165.253.186	42	229.240.116.212	42	0	1
212.115.177.249	80	212.128.176.196	37	0	1
108.254.197.242	80	229.123.213.249	53	0	1
159.252.207.242	80	212.128.176.196	37	1	1
159.233.136.249	53	108.197.167.186	80	0	1
135.163.141.212	80	229.173.100.196	37	0	1
229.227.149.242	25	135.252.233.242	42	0	1
159.230.117.186	80	159.139.192.212	37	0	1
229.200.211.249	37	159.131.239.196	25	0	1
159.251.224.212	37	212.153.172.249	42	0	1
159.167.118.212	25	108.197.224.196	42	0	1
135.113.196.186	42	108.234.210.242	42	0	1
159.136.221.196	42	229.234.226.186	80	0	1
159.226.169.249	42	159.111.210.249	80	0	1
135.226.183.249	53	212.206.199.196	42	0	1
135.219.252.186	37	229.127.126.242	53	0	1
108.186.185.242	25	135.189.165.242	37	0	1
108.179.194.212	25	229.127.126.242	53	1	1
212.132.250.196	25	229.105.195.249	80	0	2
229.100.173.212	37	212.226.159.249	53	0	2
108.138.196.212	42	229.219.177.249	25	0	2
159.128.114.242	80	159.185.235.212	53	0	2
135.234.213.249	53	229.200.164.212	53	0	2
135.228.212.196	42	159.137.239.212	42	0	2
212.169.115.212	53	159.185.235.212	53	1	2
212.206.245.249	53	159.164.247.242	53	0	2
229.223.221.242	80	159.105.118.249	80	0	2
135.159.217.186	25	159.177.169.186	42	0	2
229.223.221.242	80	212.160.243.196	42	1	2
229.148.166.242	25	212.130.192.242	37	0	2
108.121.168.196	37	108.137.112.196	37	0	2
229.148.166.242	25	108.154.150.196	42	1	2
159.163.123.186	37	159.247.237.212	25	0	2
